id_pelicula,titulo,popularidad,votos_promedio,clasificacion_chile,restriccion_horaria,promocion_permitida,fuente
238,El padrino,38.1178,8.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
240,El Padrino Parte II,24.5254,8.6,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
24428,Los Vengadores,45.4576,8.045,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
244786,Whiplash,20.9016,8.4,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
246403,Tusk,21.4377,5.534,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
249397,Nymphomaniac. Volumen 2,34.277,6.715,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
259872,Des jours plus belles que la nuit,10.5546,6.1,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
264980,Das Mädchen mit der heißen Masche,53.8294,4.5,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
269955,Peligrosa obsesión,26.1239,6.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
27,Nueve canciones,34.3757,5.545,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
270473,ฟัด จัง โตะ,36.0243,5.5,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
27098,La belleza de las cosas,19.2676,6.4,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
27205,Origen,31.1838,8.372,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
278,Cadena perpetua,68.7965,8.723,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
280,Terminator 2: El juicio final,19.2044,8.152,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
28322,Vacaciones para matar,301.8994,4.969,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
299536,Vengadores: Infinity War,55.9874,8.237,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
300496,Nefele y las seductoras de Lesbos,21.0842,3.6,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
301528,Toy Story 4,57.3992,7.461,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
315635,Spider-Man: Homecoming,31.8318,7.3,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
324857,Spider-Man: un nuevo universo,17.5071,8.4,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
